   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.83968,                0.46,             0.73801,             0.63054,            0.014318,            0.018566,            0.062402,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.55118,             0.77155,             0.85109,             0.72355,            0.016673,            0.018979,            0.061577,             0.00862,                0.01,               0.937,              0.0005,              3.1216,              0.9375,                 0.1,                0.05,             0.62087,              1.0298,              1.0864,             0.96175,                 0.2,              3.6612,                   0,             0.01565,                 0.7,                 0.4,                   0,             0.09142,              0.6899,                   0,                   0,                   0,                 0.5,             0.69824,                   0,                   0,                   3
             0.35865,             0.60092,             0.29024,             0.23255,            0.020486,            0.021376,            0.093948,             0.01267,                0.01,                0.98,             0.00066,              3.3239,                0.95,             0.07558,              0.0565,             0.51759,             0.98469,              1.4078,             0.94938,                 0.2,              2.2666,                   0,             0.01565,             0.81768,             0.35597,                   0,             0.09488,              0.6899,                   0,                   0,                   0,                 0.5,             0.75147,                   0,                   0,                   3
              0.4025,             0.55183,             0.43156,             0.35162,            0.013569,            0.018645,            0.062985,             0.01073,                0.01,             0.96706,             0.00055,              2.7869,             0.76825,             0.09564,             0.04695,             0.43455,             0.79658,                   1,              0.9999,                 0.2,              4.4793,                   0,             0.01551,             0.78422,             0.48454,                   0,             0.10252,             0.51056,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0674
             0.81594,             0.33378,             0.49161,             0.40072,            0.015711,            0.021326,            0.065533,             0.01073,                0.01,             0.96706,             0.00054,              2.7869,             0.81548,             0.09564,             0.04791,             0.47246,             0.79658,                   1,              1.0157,                 0.2,              4.4793,                   0,             0.01626,             0.82019,             0.48454,                   0,             0.10501,             0.55283,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3867
             0.55385,             0.49617,             0.42471,             0.35044,            0.017034,            0.023221,            0.065365,             0.01013,                0.01,                0.98,             0.00056,              2.7869,             0.87334,             0.07598,             0.04318,             0.46134,             0.79658,                   1,              1.0589,                 0.2,              5.1846,                   0,             0.01708,             0.78422,             0.48454,                   0,             0.08784,             0.50501,                   0,                   0,                   0,                 0.5,             0.83012,                   0,                   0,              2.4598
             0.63838,             0.44194,             0.41535,             0.33609,            0.016616,             0.02422,            0.070377,             0.01212,             0.01056,             0.97989,             0.00054,              2.5059,             0.81548,             0.09564,             0.04447,             0.47246,             0.79658,              1.0157,              1.1543,                 0.2,               4.809,                   0,              0.0174,             0.89599,             0.47582,                   0,             0.09287,               0.679,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2513
             0.46219,             0.61053,             0.49266,             0.41708,            0.014317,            0.014913,            0.073016,             0.01062,                0.01,             0.96473,             0.00054,              2.7451,             0.83203,             0.11194,             0.05065,             0.47246,             0.89259,             0.88256,             0.88771,                 0.2,              4.6966,                   0,             0.01536,              0.8535,              0.4783,                   0,              0.1009,             0.55496,                   0,                   0,                   0,                 0.5,             0.97745,                   0,                   0,               2.335
             0.35768,             0.56561,             0.43911,             0.36945,            0.015589,            0.018547,            0.066126,             0.01076,                0.01,             0.96706,             0.00054,              2.8439,             0.81206,             0.09636,             0.04902,             0.45748,             0.79185,              1.0202,              1.0157,                 0.2,              4.4767,                   0,             0.01661,             0.82019,             0.47747,                   0,             0.10609,             0.55254,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3171
             0.65711,                0.48,             0.45607,             0.36609,            0.015478,            0.015922,            0.072639,             0.01121,             0.01058,             0.96473,             0.00054,              2.8594,             0.94487,             0.11111,             0.05033,             0.47246,             0.87252,             0.81533,             0.92956,                 0.2,              4.6966,                   0,             0.01617,             0.65682,             0.56168,                   0,             0.09673,             0.55496,                   0,                   0,                   0,                 0.5,             0.80009,                   0,                   0,                   2
             0.40241,             0.59901,             0.46402,             0.38593,            0.014345,            0.015005,            0.074009,             0.01029,                0.01,             0.96516,             0.00054,              2.7824,             0.81051,             0.11417,             0.05015,             0.46697,             0.92069,             0.87806,             0.88372,                 0.2,              4.5846,                   0,             0.01536,             0.84417,             0.47338,                   0,             0.09741,             0.55851,                   0,                   0,                   0,                 0.5,              0.9834,                   0,                   0,              2.0996
